collection_date,average_admissions_all_covid_confirmed
2020-08-02,101.00700280112045
2020-08-09,93.71308523409324
2020-08-16,84.00800320127532
2020-08-23,83.30972388955102
2020-08-30,77.72468987594918
2020-09-06,76.62705082032534
2020-09-13,68.93557422969548
2020-09-20,65.24409763904922
2020-09-27,64.58783513405322
2020-10-04,70.43017206882993
2020-10-11,83.01960784314485
2020-10-18,93.4593837535026
2020-10-25,105.79791916766746
2020-11-01,117.65706282512885
2020-11-08,138.97999199679631
2020-11-15,175.4637855142045
2020-11-22,211.6202480992397
2020-11-29,231.52941176470588
2020-12-06,250.14245698279314
2020-12-13,269.2625050020008
2020-12-20,284.7763105242097
2020-12-27,290.2753101240496
2021-01-03,297.98999599839937
2021-01-10,315.936774709884
2021-01-17,306.4461784713885
2021-01-24,276.6902761104442
2021-01-31,238.90676270508203
2021-02-07,202.77190876350542
2021-02-14,169.82993197278913
2021-02-21,135.30212084833934
2021-02-28,121.37575030012005
2021-03-07,103.00720288115245
2021-03-14,94.71148459383754
2021-03-21,91.26210484193678
2021-03-28,93.33333333333333
2021-04-04,98.0704281712685
2021-04-11,104.56782713085234
2021-04-18,108.61224489795919
2021-04-25,106.47739095638255
2021-05-02,95.8703481392557
2021-05-09,87.1468587434974
2021-05-16,75.64985994397759
2021-05-23,65.5546218487395
2021-05-30,58.671868747499
2021-06-06,48.121648659462984
2021-06-13,42.33293317326731
2021-06-20,38.14485794317327
2021-06-27,35.90396158462945
2021-07-04,38.0032012805106
2021-07-11,44.0984393757467
2021-07-18,58.433373349342936
2021-07-25,82.53941576630733
2021-08-01,120.36494597838976
2021-08-08,164.62424969988237
2021-08-15,206.20008003201278
2021-08-22,230.3609443777511
2021-08-29,239.30572228891555
2021-09-05,236.86794717887156
2021-09-12,226.88195278111246
2021-09-19,209.6950780312125
2021-09-26,182.60024009603842
2021-10-03,156.79751900760306
2021-10-10,139.36374549819928
2021-10-17,126.7735094037615
2021-10-24,114.13485394157662
2021-10-31,104.09003601440575
2021-11-07,98.87234893957583
2021-11-14,102.54781912765105
2021-11-21,111.18207282913166
2021-11-28,120.29871948779511
2021-12-05,132.85234093637456
2021-12-12,149.7623049219688
2021-12-19,152.8547418967587
2021-12-26,163.59143657462985
2022-01-02,236.0500200080032
2022-01-09,349.625850340136
2022-01-16,410.7783113245298
2022-01-23,401.38735494197675
2022-01-30,361.42296918767505
2022-02-06,290.0880352140856
2022-02-13,216.14772575696944
2022-02-20,152.98686141123116
2022-02-27,107.22769107643057
2022-03-06,77.06642657062825
2022-03-13,56.03721488595438
2022-03-20,41.77751100440176
2022-03-27,33.89675870348139
2022-04-03,29.205282112845136
2022-04-10,27.655862344937976
2022-04-17,28.687875150058822
2022-04-24,32.05122048819528
2022-05-01,38.104041616645056
2022-05-08,45.38775510204081
2022-05-15,53.864745898359345
2022-05-22,65.44857943177271
2022-05-29,71.65546218487395
2022-06-05,76.53101240496198
2022-06-12,80.74589835934374
2022-06-19,84.18727490996397
2022-06-26,87.96158463385353
2022-07-03,97.63985594237695
2022-07-10,104.25450180072029
2022-07-17,116.64625850340136
2022-07-24,122.91756702681072
2022-07-31,123.69347739095637
2022-08-07,119.55662264905962
2022-08-14,116.17527010804321
2022-08-21,108.65466186474589
2022-08-28,103.66466586634655
2022-09-04,98.60984393757502
2022-09-11,89.48179271708683
2022-09-18,83.1452581032413
2022-09-25,76.60904361744699
2022-10-02,69.4577831132453
2022-10-09,66.19927971188476
2022-10-16,64.29491796718688
2022-10-23,63.3313325330132
2022-10-30,64.88875550220088
2022-11-06,65.031212484994
2022-11-13,66.83233293317328
2022-11-20,66.44897959183673
2022-11-27,71.83073229291716
2022-12-04,88.69747899159664
2022-12-11,96.3781512605042
2022-12-18,100.26370548219288
2022-12-25,107.18007202881154
2023-01-01,117.30132052821128
2023-01-08,127.36174469787915
2023-01-15,110.16526610644257
2023-01-22,92.5126050420168
2023-01-29,81.70228091236494
2023-02-05,75.29691876750701
2023-02-12,73.15886354541817
2023-02-19,72.17086834733894
2023-02-26,68.8639455782313
2023-03-05,63.88635454181673
2023-03-12,58.20408163265306
2023-03-19,52.285714285714285
2023-03-26,48.44737895158063
2023-04-02,45.60984393757503
2023-04-09,41.8235294117647
2023-04-16,37.431372549019606
2023-04-23,34.66306522609044
2023-04-30,29.468987595038012
2023-05-07,27.442577030812323
2023-05-14,26.29891956782713
2023-05-21,23.84593837535014
2023-05-28,22.215286114445778
2023-06-04,20.735094037615045
2023-06-11,19.650260104041617
2023-06-18,18.42296918767507
2023-06-25,17.542216886751103
2023-07-02,17.637855142055223
2023-07-09,17.39615846337935
2023-07-16,19.146058423368146
2023-07-23,21.17326930772309
2023-07-30,24.26770708283233
2023-08-06,27.677070828330535
2023-08-13,33.60584233693477
2023-08-20,39.9451780712285
2023-08-27,46.399359743897556
2023-09-03,52.292517006802726
2023-09-10,55.98879551820728
2023-09-17,56.59183673469388
2023-09-24,54.19287715086034
2023-10-01,52.44657863145258
2023-10-08,48.73989595838336
2023-10-15,45.72268907563025
2023-10-22,44.34093637454982
2023-10-29,45.046418567426976
2023-11-05,43.25530212084834
2023-11-12,44.87675070028011
2023-11-19,48.46178471388555
2023-11-26,53.143657462985196
2023-12-03,60.45458183273309
2023-12-10,65.02440976390557
2023-12-17,68.45658263305322
2023-12-24,78.76630652260904
2023-12-31,90.78711484593838
2024-01-07,100.64185674269707
2024-01-14,90.16366546618647
2024-01-21,76.39095638255301
2024-01-28,66.51780712284913
2024-02-04,61.19247699079632
2024-02-11,57.063625450180076
2024-02-18,54.779511804721885
2024-02-25,50.68947579031613
2024-03-03,45.2641056422553
2024-03-10,39.886754701879156
2024-03-17,32.31332533013205
2024-03-24,27.5578231292477
2024-03-31,23.662264905961987
2024-04-07,21.310924369744296
2024-04-14,19.16126450579752
2024-04-21,16.627450980399757
2024-04-28,14.763305322126518
